id,review,sentiment
127613,superflat superhost nikolas easy communicate helped questions greece athens flat flat big modern light clean pictures didnt cook meals breakfast oven area quiet felt safe good sized supermarket walking distance nice bakeries thing issue visitors walk hills flat busstop shops hand taxi inexpensive paid euros closest metro station happy return future,positive
53555,pleasant stay alexs apt welcoming accomodating check arrived late night apt clean spacious located drawback wifi quality poor connection recommend alex host,neutral
141440,natassas place wonderful location awesome nice pastry shop coffee opposite flat handy close nice cafes restaurants pangrati natassa wonderful host attentive helpful start finish lot trip smooth highly recommended disappointed,neutral
6511,apartment cosy great condition room lots facilities good location walking distance attractions hosts spectacular helping issues accommodate vassili andreas,positive
197857,emilie responsive messages helped lost luggage accommodated checkin flight delays great stay,positive
156726,honestly worst airbnb experiences canceled twodays stay night sleep good thing day room house clean blankets freshly pictures pretty generous compared reality issue problems beds extremely uncomfortable springs overused sleep feeling worst thing water pipe impossible sleep time flushes toilet showers noise strong awake didnt prevent people shower time night keeping awake night book room sleep slept hostels sharing bathroom problem happened offer room knowing water messed guests awake price good price amazing options problems athens recommend,negative
203341,giannis attentive welcoming host views rooftop hard match perfect evening drink relax located monistiraki station building undergoing needed renovation work noise times pretty rest time actual kitchen bear mind longer stays,positive
113348,stay julies place bitter sweet general communication flawless answer matter contact apartment days stay size equipment metro entrance quiet central district thing point cleanliness bad luck blanket closet bitten vicious creatures doctor rest holidays beach kind ruined sun swollen bites pus floor clean wear flip flops black feet cleanness lacks recommend julies place improves place perfect destination short stay athens,negative
17167,communication host excellent issue addressed apartment clean appointed homely central touristic attractions pleasure stay stay genies apartment pleasant experience nicholas debra melbourne australia,positive
265617,apartment clean comfortable neighborhood hard navigate pretty athens,positive
139258,flight delayed arrived hour arranged chariss son waiting communication easy flat amazing location perfect walking door arc hadrianjust spectacular clean nice neighbourhood quiet street needed list nice restaurants bars area helpfull host care asked day great host amasing flat magical view acropolis nice experience recommend choose flat stay athen,positive
237148,great lively neighborhood tons restaurants easy access place spacious clean easily fit family quiet night single complaint,positive
109758,die beschreibung der unterkunft und bilder stimmen mit der realitt vor ort berein mit liebe zum die anfahrt war unproblematisch weil aris uns gute anfahrtsskizze geschickt hat und wir htten uns jederzeit bei problemen bei aris und seiner freundin melden knnen als willkommensgru gab obst auerdem haben wir die gesamte unterkunft ausfhrlich gezeigt bekommen und gab kleine notizzettel zimmer und bad die auch hilfe leisteten die uns vorgeschlagenen bars und restaurants waren sehr gut die unterkunft liegt wirklich sehr zentral auch wenn die strae wenig attraktiv wirkt ist die gegend gerade junge leute optimal denn sind viele bars und cafs der nhe und die akropolis ist die ecke,neutral
70372,place great exceeded expectations rooms appartment rent bathrooms small unappealing large comfortable nice kitchen room lovely spacious quiet disturbed noise neightborehood guests staying rooms received necessities towels soup bed sheets texts trip needed stay olga responded texts nice doesnt talk fluidly english internet dictionary messages crystal clear missunderstanding recommand writing texts simple sentences avoid missunderstandings caused bad dictionary translation,positive
13184,sofi fantastic beautiful person accommodating meeting late missed metro airport view apartment worth penny time spent athens morning evening unforgettable,positive
135827,exceeded expectations apartment view priceless apartment beautiful architecturally design wise host incredibly helpful helped taxi departure host leaves info city town apartment thing air conditioning bedrooms confused cold air fault host apartment snowflake sign remote air conditioning mode jet lagged heads figured room temp cool things cold,positive
82161,arrived midnight ioannis mother stayed order biscuits view amazing night apartment extremely spacious located visit flea market access metro lot bars graffiti area rough absolutely issues happy explore area felt safe day night time noise countered high level double glazing ioannis provided free earplugs wanted great stay days visiting islands,positive
152234,place spent weeks greece highlight trip perfect location place beautiful view balcony enjoyed drinks admiring view walking distance attractions athens restaurants directly underneath apartment plaka market place road place immaculate large family perfect enjoyed night enjoyable faye host letting store luggage early queries favour stay disappointed thankyou faye stay,negative
144199,konstantinos great host care needed flight delayed phone working kind wait till night handover keys walk apartment stuff apartment prime location loved stay restarurants nearby public transportation min walk prints kind ensure excellent communicator konstantinos care,positive
227597,girlfriend lovely stay stefan kleios apartment biggest factor fact kleio contact prior arrival check airport transport missing stay helped jumpstart holiday apartment quiet neighbourhood connected public transport options tram metrounderground walking distance min city center acropolis chance meet athens cats inside apartment equipped kitchen extra towels extra bed sheets clothes iron bathroom bit small fact tall issue conclude fun holiday focus visit eat deal accommodation issues stefan kleio,positive
68514,great hospitality excelent location main atractions hoster nice intelligent friendly apartment great location bed big matress super comfortable apartment clean dirty spot conditioner feel cold hot free bread coffe milk juice lovely,positive
31447,place clean spacious showet cramped host helpful great communication great location sights restaurants stay,positive
42419,stellas apartment athens spot terms description reality middle monastiraki big bright clean airy living room space window overlooking acropolis photo zoom bathroom small cramped clean perfect working condition didnt meet stella mother kind speaks perfect english recommended,positive
106794,loved stay athens convenient cozy central apartment thirdfloor room isnt fancy location hard beat walk major attractions local metro takes straight airport terrace acropolis neighbouring rooftops hosts friendly helpful leave bags early room cleaned start exploring city recommended,positive
221975,beautiful place friendly host met person responsive phone nice refund night ferry delayed night great experience,positive
119768,loved staying feedback true lilly spotted lost street address warmth friendliness continued fan room great unexpected bonus stated description quiet fun staying stated description quiet fun staying feel days additional members community heart athens iannis undertaken shoestring restoration great attention lilly spoke excellent english open air cinema cycling spoke excellent english open air cinema cycling wholeheartedly recommend staying,positive
170600,host nice great sending maps communicating managed lost pretty normal main issue temperature reviewers hot bearable temperatures athens degrees yesterday doors open air fans doors open noisy unbearably hot ended leaving place stay night air conditioning simply hot sleep place nice size kitchen nice pots making dinner hostess nice met person heat time year,neutral
78266,house double bed couch suitable sleep chairs tablethe kitchen poor forniture,neutral
225615,husband stayed nights sept place spotless spacious modern balcony huge place equipped amenity free strong wifi washer hairdryer nespresso machine aircon iron ironing board welcomed person provided apartment surrounding locality apartment located minutes walk thissio metro station thissio conveniently located metro airportport restaurantscafsbars close apartment cafbar directly door location perfectly situated visiting tourist sites acropolis close popular neighbourhoods plaka monastiraki metro station nearby apartment hear trains metro station hear trains apartment location location location enjoyed stay perfect recommend travellers disappointed,neutral
236408,great place convenient location good money easy selfcheckin easy follow instructions responsive host clean tidy flat things needed short stay fault,positive
102250,apartment central attractive area center shopping area apartment clean large spacious clean linen towels kitchen fully equipped room washing machine washing machine including cleaning materials air conditioner work owner nice apartment apologized fault offered bring fan needed,positive
190632,lovely flat clean stylish lovely touches equipped nice quiet street eazybnb team amazing trip fast responses emails seamlessly organised flight delayed hour hand answer questions friendly helpful highly recommend planning coming time athens,positive
207909,appartamento spazioso ben equipaggiato meravigliosamente arredato staff gentile disponibile unica nota negativa mi dispiace detto quartiere davvero brutto appena scende buio sente davvero disagio camminare anche giorno dintorni sporchi pericolosi sconsiglio vivamente donne sole noi eravamo tre siamo sentite molto difficolt girare ragazzi giovani peccato perch lappartamento bellissimo arrivare alle sera poter entrare perch uno che droga davanti portone dingresso questo solo episodio purtroppo stata esperienza che avrei volentieri evitato sconsiglio perch ha fatto vivere disagio tutto soggiorno ogni volta che dovevamo uscire sapevamo cosa aspettarci wonderful apartment equipped furnished staff kind helpful negative note neighborhood bad darkness falls feel uncomfortable walking bit day dirty dangerous surroundings recomend apt young travellers women womens age felt unconfortable walk aound shame apartment beautiful arriving enter man drugs main door episode experience gladly avoided live discomfort stay time expect,negative
273091,natasas place absolutely amazing fully renovated modern clean cozy apartment minutes walking distance metro station informed natasas guests apartment amenities luxurious fully stocked kitchen clothes washerdryer powerful air condition units hot cold operation hispeed wifi large comfortable sofa good quality relaxing beds sheets covers pillows nice bathroom perfect large shower excellent water pressure neighborhood safe quiet place close grocery stores restaurants bakeries confectioneries caf bars pharmacies acropolis metro stops syntagma square stops communications natasa quick easy answer questions helpful perfect host highly recommend natasas place visit athens,positive
40077,stay athens city apartment perfect andreas parents nice welcoming apartment clean lovely pictures centrally located andreas precise detailed directions location close metro andreas metro opportunity clean fast affordable andreas picked friend airport arrived waited long time lost bags drove bar supposed meet friends late house honestly enjoyed stay friend happy family father walked surrounding neighborhood cafes supermarkets flexible check check times highly recommend athens city apartment,positive
142373,place perfect giannis perfect host telling dont lovely place syntagama square tourist attractions eating happening places walking distance super clean super comfortable super cozy super safe travelling solo thing missed room hot didnt realise time booking aircon,positive
204552,advertised location prime bakery street level good breakfast open late evening food bus metro feet door busy street noise night issue good windows fact square people hang night compared stays piazzas florence rome,positive
65953,dimitris amazing host hour delay arrive athens receive keys flat left wine juice fridge small treats neighborhood kipseli beautiful flat close market bakery fruit shop restaurants metro station minute walk accessible stove working day dimitris fixed great host stay time athens,positive
242521,annamaria fantastic host landed greece helped navigate public transit strike happening text understanding delayed arrival communication fantastic apartment great location corner local bars restaurants serve amazing authentic greek food local prices mins walk park great views acropolis city bakeries coffee shops supermarkets short walk metro mins walk apartment clean comfortable feel great decoration lighting thankful cool hot day highly recommend staying place athens,positive
120123,lovely apartment stay stravos wife greeted loaf bread ham cheese greatly appreciated apartment clean provisioned noticed board games windows dont offer huge natural light small outdoor balconies sit issues washing machine stavros address,positive
6324,nice host nice place big comfortable apartment perfect place sleeping tourism good appliances good internet bad area walking night park building emigrants africa asia nice neighborhood supermarkets close,positive
234271,stay athens marianne amazing marianne quick responsive helped coordinate driver pick car seat baby ride ravina catch ferry driver dimitri great nice set crib baby knew places walking routes local hot spots provided special treats fresh olives cookie baby marianne nice felt staying friend airbnb cool talk amazing view disadvantage jet lagged early advantage watch sun rise acropolis bed drink coffee view shower incredible didnt advantage pool lovely location perfect walked acropolis plaka nice dependent cabs main attractions negatives ceilings low husband loved pillows hard baby friendly felt comfortable month stay confident wanted stay marianne longer unique place ideally located amazing view book airbnb,positive
237066,place advertised view acropolis stunning living room advantage ability walk key sites athens minutes neighborhood felt safe late night street noise bad middle large city hear windows shut comment parking garage basement building convenient hit attendant saturday morning building manager attendant open door car waiting told park street weekend night early morning flight sunday didnt risk locked garage issues garage recommend place traveling athens families favorite places europe,positive
219038,great appartment spacious clean bit hard located nice neighbourhood dont worry safe guests attention appreciated,positive
173794,place clean close connie nice helped lost place nice clean communicate recommend,positive
181986,loved staying location hard beat absolutely central small street loved tiny bathroom huge singular common space perfect traveling couple lots space spread toaster oven burner functional tiny kitchen clean beautiful,positive
11979,warm friendly great place clean cute modern style plenty room host kindly left guides hot spots visit maps included traveling easier traveling weeks stayed airbnbs recommend athens stay disappointed,neutral
115374,space cozy comfortable short stay lovely neighborhood centrally located walking distance clear amazing view acropolis bed views large lovely balcony issue connect wifi short stay great,positive
230752,elegant beautiful flat close spots athens enjoyed stay house cosy offered needed super tranquil courtyard thankful delayed checkin vasiliki,positive
224885,apartment clean modern centrally located experience lacking compared stay hosts property management company direct owner experience bit lead service options felt case met hosts listed property interaction limited messaging airbnb properties stayed week trip welcomed sort gift wine baked goods provided water tap water drinkable case recommendations tourist traps tripadvisor bet local gems early flight day departure phone international service requested assistance schedule taxi airport told charged extra euros arrange car exchange longer energy booked car ridiculous extra charge accommodating early checkin caliber hosting lacking compared counterparts unit great dont expect extra lengths extra charge,neutral
212595,great location athens walkable main sights met thanos ensure checked problem free parking road spaces limited,positive
235439,michels place great stayed night flights apartment somethings walk apartment hill syntagma station isnt bad ferry late michel understanding easy communicate stay,positive
74768,special space actual working theater unique spaces love arts stay loved spacious clean bright close attractions bed extremely comfortableand bad grateful vassilis wonderful host helpful gracious easy communicate highly recommend,positive
32992,good location mins walking subway station mins walking acropolis room clear big panos mother nice warm reception good bit cold water bath room feel wonderful journey lot,positive
61332,loved takis place amenities kitchen bathroom bed studio cozy nice rest sightseeing place experience main turstic athens perfect lot restaurants coffee shops shopping stores supermarkets takis nice friendly waiting hour delayed place stops monastiraki station close gracias takis,positive
72578,petros helpful flight delayed arrive waited explained room perfect single quote area clean walk distance gazi metro mins walk distance,positive
127413,spotless comfortable room difference boyfriend visited middle june tamara kind good suggestions mixup arrival didnt tamara greet door apartment complex didnt wifi ferry arrival didnt access building button push couple left place floor fault stay,negative
55748,maria perfect host waited train arrived athens delay fresh bread mothers delicious marmalade breakfast apartment wonderful nice neighbourhood close turistic area acropolis metro feel,positive
68278,met jean couple minutes arrived kind responsive trip emailed questions apartment decorated wonderfully thought nicely curated art collection apartment located great areawalking distance gazi metro lines touristy areas akropolis tons small cafes bars unit things needed washing machine broken kitchen lacked essentials cooking december apartment pretty cold time heater building regulated turned couple hours fluffy soft bed order good nights sleep recommend place men difficulty showering bath small main perk place location easily town places,positive
184044,advertised high expectations disappointed basilis awesome host picked airport great tips missed sailing assume awesome needed bakery supermarket smaller shops buy beverages appartment metro minutes walk youll real greeks street tourists great experience great time basilios,neutral
39388,flights delayed arrived midnight marias brother kostas greeted graciously apartment supplied things staying real greek neighborhood touristic area,negative
34864,location apartment great walk major sites central athens elevator building apartment floor apartment clean small balcony big people sit share coffee enjoy light lunch kitchen area roomy place prepare meals living room nicely decorated issue church bells guests mentioned start wake day ring hour problem morning program loud long sleep generally annoyance real issue excepting church bells neighborhood fairly quiet bedroom quiet,positive
146555,airbnb clean furnished nice hotel room view acropolis thanos place accommodations stayed wished time spend space sit balcony write work laptop enjoying view thanos friendly met generally quick respond lapse night checkout replied morning big issue athens book,positive
17177,host pleasant person difficult write bad review choose apartment extremely noisy sensitive outdoor sounds load motorbikes honking booking bought earplugs checked realize noisy location good area locates pleasant athens moved night,negative
23986,apartmentshost experiences beautiful huge apartment athens area kolonaki elegant situated gorgeous style type building clean quiet bedrooms overlooking lovely gardens beaming sun rays bird singing mornings busy street life living rooms visited november apartment big central heating working lovely evenings didnt additional heating building quality playing large role area offers caffes pastry shops high shops quick grabins local restaurants high restaurants museums supermarkets list basically walking distance major city attractions pure pleasure strolling trough national park street small busy streets athens travelling family kids warmly welcomed misfortune athens president visit high risk security issues marilena constantly informing news updates good care advising avoid demonstration crowds alexandra marilena provided great deal responding felt visiting close family members time visiting athens beautiful city lots offer warm reception hosts played huge role alexandra marilena making trip memorable treasured deeply hearts,positive
93074,nice place walking distance main sites attractions athens nice neighborhood place ample size room spare coming evenings place cool issues honest athens book great place stay chris,positive
125383,host friendly warm house clean big kitchen equipped location bit hard address location accurate hidden airbnb map pleasant stay house,positive
119587,wifi abit spotty issues day bathroom perfect location great apartment clean yiorgos accommodating helpful,positive
267868,stylish room convenient location helpful responsive hospitable hosts building residential building creepy night fine day bringing slippers stay cold days floor feels chilly socks,positive
219135,view roof place clean beds comfortable host elena god waiting exact time arrival coming airport pictures accurate time airbnb pretty cautious thinking catch complaint internet fault host internet companies hardware coming day againelena emptied trash everyday cleaned didnt needed stay,negative
122192,appartment absolutely beautiful terrasse incredible experienced bit bad weather son enjoyed playing ridiculously big ultra safe kids mattress pillows good quality sleep spend day roaming athens good restaurant appartment touristic real meet local people miam close foot cool acropolis flea market host chance meet yannis person girlfriend alexandra incredible taxi airport brought wrong address helped safely place air flight company lost stroller tokyo alexandra helped spoke airport guys explain delivered eat trip athens awesome bit alexandra,positive
182028,giotas apartment spacious modern relaxing flat situated ground floor building mobility issues warned address steep road lots steps encounter steep incline mistake walking hotel luggage reward situated half lycabettus hill walk isnt daunting comfortable giotas black blinds comfy bed relaxing stay shop streets supply basic lots bars restaurants easy walk taxi centre athens reasonable roof dipping pool lovely touch excellent views athens,positive
52184,great location close acropolis large rooms heating clean supplied spices cooking bathroom cramped,positive
66092,friend great stay lucis apartment apartment clean spacious walking distance major attractions athens arrival lucis mother greet pleasant talk apartment breakfast foods provided cheese jam fruit issue low water pressure shower recommend staying,positive
109050,appartement located host enthusiastic visit athens persons bad choice,negative
223601,fine stay apartment space large clean conveniently located team easy communicate issues,positive
44183,booked night denis apartment instant book feature airbnb fantastic stay athens blue secure place stay day didnt hear deni hours airbnb messaging working noticed denis response rate airbnb perfect finally contact hidden airbnb deni arranged meet parents flat hour happily directions perfect hidden airbnb maps issues parents lovely lived door case needed apartment location literally corner notable classic restaurants kafeneio kouklis ouzeri yerani cafe amalthea creperie adrianou street half block middle beautiful plaka apartment quiet simple great friends apt sleeps cheap cheerful weekend student vibe needed amenities sadly lacking aesthetic appeal great time dismal planning relaxing garden lovely summer jan cold greece winter,positive
263715,pink elephant room cozy tidy enjoyed practical position center places athens cold winter heater visit winter manos super nice guests feel great place,positive
106220,modern clean apartment athens city center hard bedroom apt place beautifully real views narrow balcony watch traffic busy street apartment comfortable open comfortable stay mini market walk uphill blocks cafe corner breads coffee,positive
109222,house exceptional acropolis shopping restaurants short walk mars hill key historic sites house perfect family center historic athens residential neighbourhood issues noises late hours carnival week nicholas great communication works hard ensure area essentials arrive athens amazing house matched,positive
173959,experience plane company lost bags late night teo helpful felt safe knowing waiting replying messages wonderful location clean nice apartment,positive
223313,great location athens neighborhood great street fantastic lot vegan options apartment crazy close main attractions athens apartment smaller expect photos issue making noise problem,positive
245554,haroula good host problems delayed ferry allowed stay field longer day additional charges helpful recommend host,positive
258517,superb place spacious comfortable clean missed islands,positive
258495,wow short loved great space wife wanted live built house lot nice design ideas hiking acropolis museums jump private pool afternoon evening pleasure views amazing apartment gorgeous exceeded expectations lots thoughtful touches emmanuela prompt responses questions times minor issues resolved negatives aware undoubtably quieter locations athens traffic noise issue walking acropolis minutes pleasant walk enjoyed daily stairs apartment steep narrow recommend unsteady feet elevator levels minor issues book place doubt place nice ruined,positive
184519,dubious websites book accommodation fearful description true representation dwelling fears proved accurate trip time airbnb spent considerable time researching places athens stay things researched previous reviews confident previous guests accurate representations arrived apartment disappointed realise size smaller bathroom filthy bedroom small closet space bedsheets smelt stale smoke pillows hard uncomfortable washing machine consisted offensive smelling damp laundry sink dirty apartment stars consequence utter dismay vacated property night moved star hotel contacted host inform approachable terms communication refused reimburse money nights stayed property understand previous reviews place highly recommendable accommodation star place amenities star place common agent works airbnb view place independent review case trusted reviews written website nice thing place communication host easy accessibility athens city centre case places athens taxis cheap train good access city centre easy,negative
15134,dimitris apartment perfect dimitris great host people plane delayed arrived athens dimitris kind pick middle night greatly appreciated addition quick responsive questions apartment amazing view lounge room terrace overlooking acropolis perfect unforgettable experience,positive
158945,recommended stay showerhead faulty reached apartment owner changed night stay toilets apartment functioning toilet baths house rules stated airbnb manually turning heaters inconvenient needed monitor time heaters left recommended minutes aircons kitchen appliances turned time house blacked caught mentioned christina heaters left shower safety reasons heated water duration persons baths pax turn minutes wait heated remaining persons continue baths lack proper working amenities stated site managed confined restrictions appalled point worsen experience apartment accused stealing sets towel checkin sets towel sets bed set couch apartment towels blanket bed ownbrought towels request sets towels requested blanket christina needed maria insisted towels wanted charge eur clarifying brought towels provided accommodation reason shared towels accusation sense horribly terrible airbnb experience multiple stays apartments globe evidently lose confidence accommodation,negative
45122,francee responsive accommodating changing plans check late night flight delayed place spotlessly clean super stylish incredibly located breathtaking view acropolis,positive
268456,things mariangela welcomes apartment step balcony spectacular view acropolis sit chat mariangela specially provided local pastries acquainted place area discuss options good food cafes missed good hands apartment clean large basics thoughtful extras location ideal exploring wonderful athens easy walking distance archaeological sites museums restaurants metro happily loved place,positive
