review	sentiment
perfect location great flat quiet neighborhood close lots restaurants grocery mini marts metro station tourist locations walkable half hour convenient day break heading afternoon evening flat clean spacious safe complaint cold visited march heater bit noisy katia super helpful literally booked day arriving problem extremely detailed advanced apartment costs things trip smoothly amazing accommodation highly recommended	positive
place wonderfully location wise spacious generally clean suitable families adults children summer imagine verandah lovely heating winter issue quiet efficient airconditioners highly recommend erics place	positive
marys apartment amazing booked apartment minute close friends abroad mary managed perfect left cold water fridge prudent bottle wine friends met mary apartment explained apartment suggestions tips athens apartment spacious comfortable clean location ideally minutes walking distance metro acropolis minutes acropolis museum recommend apartment	positive
giotas apartment spacious modern relaxing flat situated ground floor building mobility issues warned address steep road lots steps encounter steep incline mistake walking hotel luggage reward situated half lycabettus hill walk isnt daunting comfortable giotas black blinds comfy bed relaxing stay shop streets supply basic lots bars restaurants easy walk taxi centre athens reasonable roof dipping pool lovely touch excellent views athens	positive
flat communication hosts great mention flat area located aperantly flat someones storage day stuff stuff woke morning flat located abandoned street building people times junkies inject drugs gate building night junkies street yelling junkie stuff uncomfortable walk night street	negative
great stayed night flight delayed super quick respond early open place check time works great hotel staying internet worked great	positive
michels place great stayed night flights apartment somethings walk apartment hill syntagma station isnt bad ferry late michel understanding easy communicate stay	positive
tonia nicest host house totally fine hard	positive
yota excellent host greeted arrival place bottle wine cold water awaiting nice touch recommend staying place including worked perfectly terrace offers awesome view yota questions concerns	positive
family travel time regularly airbnb stayed place weeks decemberthe apartment apartment renovated clean things needed kitchen doesnt oven extra kitchen items round great kitchen missed blender smaller saucepan lid frying pan potato peeler bedding ample supply towels electricity arrangement tricky understand worked circuit washing machine range hood separate key laundry supply hairdryer thoughtful touch retrofitted hot water shower doesnt hot australia south east asia adjust showering day water hot night apartment warm times rarely heater wifi good worked host explained local works area install cablesthe host nestor thoughtful polite host regularly checking needed providing extra items stopped notice fine disconcertingthe area apartment centrally located navigate metro easily major tourist spots easily groceries atms area area regarded rundown area locals encounter drug dealers drug users touts beggars buildings street harmless local shop owners friendly paying attention personal safety happen week stay recommend donating action aid hellas beggarsoverall enjoyed stay apartment fairly priced aud night stay	neutral
place great easy airport close metro city clean tidy spacious people foris easy contact left disappointed asked month secure place overnight return athens islands told worries reserve arrived told ive problem air bnb accomodation felt disappointed	negative
roof patio apartment gorgeous room plants lining walls nice touch fact beautiful acropolis parthenon george lycabettus hill left incredible view night paul easily host traveling greece drop bags early apartment cleaning preparing didnt carry visiting city offered helpful suggestions told restaurants area hiccup fault great resolution problem accommodating nice paul memories honeymoon hope meet marci greg	positive
spent week svens apartment athens place located comfortable budget option fully equipped ideal longer stays sven good tips moving city cafs restaurants nearby island trips solved issues stay replacing missing fan meet personally phone responded requests friendly manner	positive
theodore amazing host plane delayed hrs waited patiently till midnight checkin super friendly cake checked good apartment fully equipped map attractions nearby absolutely amazing stay	positive
location place amazing walking distance major historical ruins decent access metro bus plenty restaurants food options practically downstairs amazing bakery pointed gracious host apartment small contained comfortable nights stayed good wifitvac stocked kitchen negatives place proximity main road meant road noise noticeable rush hour bed uncomfortably hard host welcoming pleasant check	positive
